=== Arduino ===
ID,Name,Price (Rs),Description,Button,Visible,category,subcat,type
  Boards,,,,,,,,
rb-ard-b01,Arduino Uno R3,446,The most popular Arduino board. ATmega328P with 14 digital I/O and 6 analog inputs.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b02,Arduino Nano,349,Compact breadboard-friendly ATmega328P in a tiny footprint.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b03,Arduino Mega 2560,999,54 digital I/O and 16 analog inputs on ATmega2560. For large complex projects.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b04,Arduino Leonardo,649,ATmega32U4 with built-in USB. Can emulate a mouse or keyboard HID device.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b05,Arduino Due,1299,First Arduino with 32-bit ARM Cortex-M3 at 84 MHz and two DAC outputs.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b06,Arduino Pro Mini 5V,199,Minimalist ATmega328P at 16 MHz / 5V. Upload via USB-to-TTL adapter.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b07,Arduino Pro Mini 3.3V,199,ATmega328P at 8 MHz / 3.3V. Lower power compatible with 3.3V sensors.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b08,Arduino Micro,799,ATmega32U4 with native USB in a smaller form factor than the Leonardo.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b09,Arduino Nano Every,549,Next-gen Nano with ATMega4809. More flash and RAM on the same pinout.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b10,Arduino Uno WiFi Rev2,1999,Uno R3 plus Wi-Fi and Bluetooth via ESP32 co-processor and ATmega4809.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b11,Arduino MKR WiFi 1010,2499,32-bit SAMD21 with onboard Wi-Fi and Bluetooth for IoT Cloud projects.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b12,Arduino MKR Zero,1799,SAMD21 with SD card and I2S connector for audio and data-logging.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b13,Arduino Nano 33 IoT,1499,SAMD21 + NINA-W10 Wi-Fi/BT + LSM6DS3 IMU. Ideal for wearables and IoT.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b14,Arduino Nano 33 BLE Sense,2199,nRF52840 + Bluetooth 5 + nine onboard sensors. Machine learning ready.,buy,yes,electronics,arduino,arduino-boards
rb-ard-b15,Arduino Zero,1599,SAMD21 Cortex-M0+ with embedded EDBG for full in-circuit debugging.,buy,yes,electronics,arduino,arduino-boards
  Displays,,,,,,,,
rb-ard-d01,2.4 inch TFT LCD Shield,499,320x240 colour TFT touchscreen for Uno/Mega. Includes SD card slot.,buy,yes,electronics,arduino,arduino-displays
rb-ard-d02,3.5 inch TFT LCD Shield,699,480x320 colour resistive touchscreen for Uno/Mega. Great for GUIs.,buy,yes,electronics,arduino,arduino-displays
rb-ard-d03,1.8 inch TFT SPI Display,299,128x160 TFT colour breakout board. Works via hardware or software SPI.,buy,yes,electronics,arduino,arduino-displays
rb-ard-d04,0.96 inch OLED I2C Display,199,128x64 monochrome OLED with I2C. Only two signal wires needed.,buy,yes,electronics,arduino,arduino-displays
rb-ard-d05,1.3 inch OLED I2C Display,249,128x64 OLED larger than 0.96 inch. SH1106 controller.,buy,yes,electronics,arduino,arduino-displays
rb-ard-d06,2.42 inch OLED SPI Display,449,128x64 OLED on SPI for faster refresh. Sharp even in daylight.,buy,yes,electronics,arduino,arduino-displays
rb-ard-d07,16x2 LCD Display Module,129,Classic HD44780 character LCD. Add I2C backpack for two-wire control.,buy,yes,electronics,arduino,arduino-displays
rb-ard-d08,20x4 LCD Display Module,199,Four rows of 20 characters. Same HD44780 interface as the 16x2.,buy,yes,electronics,arduino,arduino-displays
rb-ard-d09,7-Segment 4-Digit Display,149,TM1637 driver with only two wires. Perfect for clocks and counters.,buy,yes,electronics,arduino,arduino-displays
rb-ard-d10,E-Paper 2.9 inch Display,799,Tri-colour e-ink via SPI. Retains image with zero power draw.,buy,yes,electronics,arduino,arduino-displays
  Shields,,,,,,,,
rb-ard-s01,Arduino Sensor Shield V5,349,Breaks every Uno pin into a 3-pin VCC/GND/SIG header for direct plug-in.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s02,Arduino Relay Shield 4-Channel,499,Four 10A/250VAC relays with opto-isolated inputs to protect the MCU.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s03,Ethernet Shield W5100,599,Wired Ethernet for Uno/Mega. W5100 chip with RJ45 and onboard SD.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s04,ESP8266 WiFi Shield,349,Wi-Fi over serial UART with AT-command firmware pre-loaded.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s05,Motor Driver Shield L298P,399,Dual H-bridge for two DC motors or one stepper. 7-12V motor supply.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s06,CNC Shield V3,299,Drives up to 4 axes with A4988/DRV8825 drivers for CNC and 3D printers.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s07,Proto Shield with Mini Breadboard,249,Stackable shield with a 170-point mini breadboard for quick experiments.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s08,Data Logger Shield,449,DS1307 RTC and micro SD on one shield. Timestamps sensor data to CSV.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s09,Bluetooth Shield HC-05,399,HC-05 Bluetooth 2.0 with UART passthrough for wireless serial.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s10,GSM GPRS Shield SIM900,1499,SIM900 quad-band GSM for SMS voice calls and GPRS data.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s11,GPS Shield NEO-6M,799,u-blox NEO-6M GPS with SMA antenna connector and SD card slot.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s12,Touch Screen Shield 3.2 inch,599,320x480 resistive touch TFT for Mega with SD and onboard font chip.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s13,Voice Recognition Shield V3,899,Up to 80 user-trained offline voice commands. Speaker and mic jack.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s14,Joystick Shield,199,Analogue joystick plus 4 buttons mapped to A0/A1 for robot control.,buy,yes,electronics,arduino,arduino-shields
rb-ard-s15,XBee Shield,549,Carrier for XBee modules with UART/SPI switch and RSSI LED.,buy,yes,electronics,arduino,arduino-shields
  Accessories,,,,,,,,
,,,,buy,yes,electronics,arduino,arduino-accessories

=== Raspberry Pi ===
ID,Name,Price (Rs),Description,Button,Visible,category,subcat,type
  Single Board Computers,,,,,,,,
rb-rpi-s01,Raspberry Pi 5 (4GB),5499,"Latest RPi 5 with 4GB RAM, BCM2712 quad-core 2.4GHz, dual 4K HDMI, USB 3.0, PCIe connector.",buy,yes,electronics,raspberry-pi,rpi-sbc
